Firm,Link,Description,Phone,Address,Website
"Bressler, Amery & Ross, PC",https://www.us-barassociation.org/firms/detail/ac9730782a14f43e,N/A,N/A,N/A,N/A
"Briskman & Binion, PC",https://www.us-barassociation.org/firms/detail/d173346ce3a0811b,N/A,N/A,N/A,N/A
"Burge & Burge, PC",https://www.us-barassociation.org/firms/detail/52cdb63954dfcc35,N/A,N/A,N/A,N/A
"Burke Harvey, LLC",https://www.us-barassociation.org/firms/detail/0e40c9af40457855,N/A,N/A,N/A,N/A
Burr & Forman LLP,https://www.us-barassociation.org/firms/detail/230e2e883aebed4c,N/A,N/A,N/A,N/A
Burr & Forman LLP,https://www.us-barassociation.org/firms/detail/d7f70c71837073fd,N/A,N/A,N/A,N/A
"Candace B. Peeples, LLC",https://www.us-barassociation.org/firms/detail/c8c7bd67e2031fbd,"Candace B. Peeples, LLC is a family law firm located in Birmingham, Alabama and serves clients throughout the region. Practice areas encompass divorce and legal separation, property division and complex financial issues, alimony, prenuptial and postnuptial agreements, child custody and visitation, child relocation and parental moves, child support, adoption, grandparents’ rights, and juvenile law as well as modification of orders and appeals. In addition to litigation, the firm offers mediation options, either as mediator or lawyer.

Attorney Candace (“Candi”) Peeples has more than 15 years of legal experience, is certified as a specialist in “Family Law Trial Advocacy” by the National Board of Legal Specialty Certification (NBLSC), and is a certified domestic and appellate mediator.

Ms. Peeples understands that family law matters can be stressful, and she helps clients make sense of the legal procedures and processes so they may make informed decisions. She is prepared to represent clients in negotiations and in court, working to protect their rights and interests and preserve families’ futures.",Phone(s): (205) 403-5577,"2956 Rhodes Circle
Birmingham, Alabama
35205",https://www.us-barassociation.org/firms/detail/www.peepleslaw.com
"Carey & Hamner, P.C.",https://www.us-barassociation.org/firms/detail/328ec98e22471e35,"Carey and Hamner P.C. in Dothan, AL, handles personal injury cases. The firm is dedicated to pursuing rightful compensation for clients suffering injuries from automobile, truck, work and other accidents throughout Alabama.",Phone(s): (855) 435-4797,"102 South Orange Avenue
Dothan, Alabama
36301",https://www.careyandhamner.com/
Carr Allison,https://www.us-barassociation.org/firms/detail/eef8a49b3fac5126,N/A,N/A,N/A,N/A
Carr Allison,https://www.us-barassociation.org/firms/detail/fe00070a0f7747df,N/A,N/A,N/A,N/A
"Cindee Dale Holmes, LLC",https://www.us-barassociation.org/firms/detail/22116d3124540c9c,N/A,N/A,N/A,N/A
"Clay, Massey & Associates, P.C.",https://www.us-barassociation.org/firms/detail/da777b563c184c07,N/A,N/A,N/A,N/A
"Cobb, Boyd, White & Cobb",https://www.us-barassociation.org/firms/detail/652e34025921b9eb,N/A,N/A,N/A,N/A
"Constangy, Brooks & Smith, LLP",https://www.us-barassociation.org/firms/detail/f9ee35e4309d044c,N/A,N/A,N/A,N/A
"Covenant Law Firm, PC",https://www.us-barassociation.org/firms/detail/c10e041994d274ef,N/A,N/A,N/A,N/A
"Cunningham Bounds, LLC",https://www.us-barassociation.org/firms/detail/4710785681785fd5,"Cunningham Bounds, LLC is a personal injury law firm located in Mobile, Alabama and serves clients throughout the state.",Phone(s): (251) 299-0101,"1601 Dauphin Street
Mobile, Alabama
36604",https://www.cunninghambounds.com/
"Dick & Miller, P.C., Attorneys at Law",https://www.us-barassociation.org/firms/detail/79a63dd62b92e299,N/A,N/A,N/A,N/A
Drake Law Firm,https://www.us-barassociation.org/firms/detail/c6a322f97ab8d706,"Drake Law Firm is a personal injury firm located in Birmingham, Alabama and serves clients throughout the state.",Phone(s): (205) 970-0800,"2 Perimeter Park South, Suite 510E
Birmingham, Alabama
35243",https://www.drakeinjurylawyers.com/
"Eversole Law, LLC",https://www.us-barassociation.org/firms/detail/a83b96b4224879a9,N/A,N/A,N/A,N/A
"Farris, Riley & Pitt, LLP",https://www.us-barassociation.org/firms/detail/ce47e113c5d95fc4,"Farris, Riley & Pitt, LLP is a personal injury firm located in Birmingham, Alabama and serves clients throughout the state.",Phone(s): (205) 407-1805,"505 20th Street North, Suite 1700
Birmingham, Alabama
35203",https://www.frplegal.com/
"Fischer & Associates, LLC",https://www.us-barassociation.org/firms/detail/d6ff5b62827c4223,N/A,N/A,N/A,N/A
FordHarrison,https://www.us-barassociation.org/firms/detail/fce8234b9d1466f3,N/A,N/A,N/A,N/A
"Frances H. Hollinger, Attorney at Law",https://www.us-barassociation.org/firms/detail/f8175e2b52a79e3a,N/A,N/A,N/A,N/A
"Gina H. McDonald & Associates, L.L.C.",https://www.us-barassociation.org/firms/detail/a6f9110400f2197f,N/A,N/A,N/A,N/A
"Gina H. McDonald & Associates, L.L.C.",https://www.us-barassociation.org/firms/detail/7424ece559da9473,N/A,N/A,N/A,N/A
"Greenway Law, LLC",https://www.us-barassociation.org/firms/detail/ab62c962c7997c68,N/A,N/A,N/A,N/A
"Griffith, Little & Lowry, LLC",https://www.us-barassociation.org/firms/detail/bb0eaa3306acd23e,N/A,N/A,N/A,N/A
Hall & Tucker,https://www.us-barassociation.org/firms/detail/c3c664e2c3189cae,N/A,N/A,N/A,N/A
"Hall Booth Smith, P.C.",https://www.us-barassociation.org/firms/detail/fd9b362dbfb31b6e,N/A,N/A,N/A,N/A
Hall Tanner & Hargett P.C.,https://www.us-barassociation.org/firms/detail/9e5f4cc450239dda,"Hall Tanner Hargett is a civil litigation law firm located in the North Alabama Quad-Cities region of Tuscumbia, Muscle Shoals, Florence and Sheffield. The firm regularly represents plaintiffs and defendants in a broad range of legal matters, including business litigation, estate and trust litigation, real estate and construction litigation, trucking and automobile accidents, personal injury and products liability, industrial and workplace accidents, employment litigation, medical negligence, nursing home abuse, wrongful death, and insurance and consumer fraud.

Attorneys Rick Hall, Mike Tanner, and Douglas Hargett graduated with academic distinction from their respective law schools and obtained substantial experience in large firms handling complex litigation. They use their collective experience, along with in-depth knowledge of the court systems and laws, to litigate cases at the local, regional and national levels.

Hall Tanner Hargett has successfully represented clients inside and outside the courtroom, with a dedication to providing a high quality of legal services. The firm is positioned to represent both individuals and businesses in the Tennessee Valley, as well as clients from around the country.",Phone(s): (256) 381-7750,"201 N Water St
Tuscumbia, Alabama
35674",https://www.shoalslawyers.com/
"Henry C. Dailey Jr., PC",https://www.us-barassociation.org/firms/detail/ff82ce6973cf411f,N/A,N/A,N/A,N/A
"Hill, Hill, Carter, Franco, Cole & Black, PC",https://www.us-barassociation.org/firms/detail/85327611a2304598,N/A,N/A,N/A,N/A
"Holberg and Holberg, P.C.",https://www.us-barassociation.org/firms/detail/cfd2a749de5c4ba0,N/A,N/A,N/A,N/A
"Huie, Fernambucq & Stewart, LLP",https://www.us-barassociation.org/firms/detail/8a180f4b7837a371,N/A,N/A,N/A,N/A
Jackson Lewis P.C.,https://www.us-barassociation.org/firms/detail/eec406fb02b65ea1,N/A,N/A,N/A,N/A
"Johnstone Carroll, LLC",https://www.us-barassociation.org/firms/detail/5d941682359b08d5,N/A,N/A,N/A,N/A
"Junkin, Pearson, Harrison, Junkin & Pate LLC",https://www.us-barassociation.org/firms/detail/9eca97b1650e12a0,N/A,N/A,N/A,N/A
"King & Green, LLC",https://www.us-barassociation.org/firms/detail/110b2e65831f6cb4,N/A,N/A,N/A,N/A
Lasseter Law Firm PC,https://www.us-barassociation.org/firms/detail/d8cb82cb098093c0,"Lasseter Law Firm, P.C. is located in Birmingham, Alabama and serves clients throughout the state who have been harmed by police misconduct, police brutality, excessive force, shootings, jail medical negligence, false arrest, and prison abuse.

Alan Lasseter has been practicing law for more than 25 years and has developed a diverse background in civil litigation backed with extensive experience in the courtroom. He takes the time to listen to the details of clients’ situations and has achieved notable verdicts and settlements. Mr. Lasseter is admitted to the Alabama and U.S. District Courts for the Middle and Northern Districts of Alabama.

Lasseter Law Firm is dedicated to pursuing justice and working diligently to obtain exceptional results for clients.",Phone(s): (205) 438-6591,"2204 Lakeshore Drive, Suite 303
Birmingham, Alabama
35209",https://www.lasseterlaw.com/
Law Office of Frances Hoit Hollinger,https://www.us-barassociation.org/firms/detail/7c02d5dfa90b8f68,N/A,N/A,N/A,N/A
"Law Office of Zach Horsley, LLC",https://www.us-barassociation.org/firms/detail/85a3185b4771fca1,N/A,N/A,N/A,N/A
"Leitman, Siegal & Payne, P.C.",https://www.us-barassociation.org/firms/detail/3cf92587583eba76,N/A,N/A,N/A,N/A
"Lightfood, Franklin & White, L.L.C.",https://www.us-barassociation.org/firms/detail/7039ab88c94f77ae,N/A,N/A,N/A,N/A
Littler Mendelson P.C.,https://www.us-barassociation.org/firms/detail/aab5c4d63d6e0393,N/A,N/A,N/A,N/A
Luckey & Mullins PLLC,https://www.us-barassociation.org/firms/detail/948178ab136540f4,N/A,N/A,N/A,N/A
"Mark A. Jackson, PC",https://www.us-barassociation.org/firms/detail/dfc8686760003504,N/A,N/A,N/A,N/A
"Marks & Associates, PC",https://www.us-barassociation.org/firms/detail/77c3bc20b4638061,N/A,N/A,N/A,N/A
"Marsh, Rickard & Bryan, PC",https://www.us-barassociation.org/firms/detail/851d37eb3e6f2581,N/A,N/A,N/A,N/A
"Martin & Helms, P.C.",https://www.us-barassociation.org/firms/detail/9d743aea642f9dcc,"Martin & Helms, P.C. is a personal injury firm serving clients throughout Alabama with offices in Huntsville and Decatur. Practice areas include car and truck accidents, motorcycle accidents, slip and fall accidents, catastrophic injuries, construction accidents, product and premises liability, nursing home abuse and neglect, fire and explosion injuries, worker’s compensation, insurance disputes, and wrongful death.

Clay Martin and Tara Helms have more than 45 combined years of legal experience and offer one-on-one counsel. They listen to what clients want, offer honest and practical guidance about what options are available, and create a personal strategy designed to achieve their goals.

Taking each case personally, Martin & Helms handles every claim with a focus on clients’ best interests. Whether through negotiation, arbitration, or litigation, the legal team is dedicated to achieving the best possible outcomes will skilled advocacy.",Phone(s): (256) 539-1990,"401 Holmes Avenue NE, Suite C
Huntsville, Alabama
35801",https://martinhelms.com/
"Martinson & Beason, PC",https://www.us-barassociation.org/firms/detail/b2185e2faa2529f6,"Martinson & Beason, P.C. is primarily a personal injury firm located in Hunstville, Alabama and serving clients throughout the state since 1937.",Phone(s): (256) 533-1667 or (800) 255-6534,"115 Northside Square
Huntsville, Alabama
35801",https://www.martinsonandbeason.com/
"Mastando & Artrip, LLC",https://www.us-barassociation.org/firms/detail/c18f9c08e6058ebb,"Mastando & Artrip LLC is a premier Huntsville, Alabama law firm established in 2011 by skilled attorneys with experience in business, government, negligence, and class actions. The firm's team has a proven success record in car and truck accident litigation, personal injury and product liability, nursing home abuse, wrongful death, with additional expertise in real estate law, workplace litigation, and whistle-blower rewards and protection.

At Mastando & Artrip your case will receive the kind of personalized attention that you require. From the halls of the United States Congress to the county courthouse, no case is too big or too small. Mastando & Artrip offer the experience you need for legal representation. Your case will be overseen by a team of accomplished and experienced attorneys. We are big enough to get the job done right and small enough to care about the outcome.

With more than fifty years of diverse legal experience, the attorneys in our office are dedicated to providing innovative and quality legal representation to both individuals and businesses. Featuring cost-effective representation as well as personal attention, Mastando & Artrip gives you the expertise of a large law firm and the personal attention of a small company.",Phone(s): (256) 532-2222 or (800) 434-7195,"301 Washington Street Northwest, Suite 302
Huntsville, Alabama
35801",https://www.mastandoartrip.com/
Maynard Cooper & Gale,https://www.us-barassociation.org/firms/detail/7d6f1218709d48f4,N/A,N/A,N/A,N/A
Maynard Cooper & Gale,https://www.us-barassociation.org/firms/detail/41a2d9d88d3081a5,N/A,N/A,N/A,N/A
McGlinchey Stafford PLLC,https://www.us-barassociation.org/firms/detail/e199debef56d39b2,N/A,N/A,N/A,N/A
McGuire & Associates,https://www.us-barassociation.org/firms/detail/99dd955e19c2471b,"McGuire & Associates is a civil rights and commercial law firm located in Montgomery, Alabama and serves civil litigants and corporations locally, regionally, and nationally. Civil rights practice area includes matters related to debtor’s prison, illegal municipal bail practices, voter rights and voter disenfranchisements, as well as State and Federal Constitutional violations. Corporate law practice area consists of corporate governance and compliance, business planning, enterprise business contracts negotiation, and regulatory research.

Attorney J Mitch McGuire is a former corporate executive with more than 20 years of business experience and leadership along with years of experience as a civil rights and business lawyer. He holds a Master of Laws from Georgetown University in Washington, D.C., a J.D. degree from Thomas Goode Jones School of Law, and an M.B.A. from the University of Alabama.

Mr. McGuire believes in serving others, and the firm’s culture requires service to clients and companies with that primary goal in mind. The firm’s unique practices allow for serving the least of us when clients’ civil rights hang in the balance, and also offer services to the most complex enterprise corporations,",Phone(s): (334) 651-8891,"31 Clayton Street
Montgomery, Alabama
36104",https://www.mandabusinesslaw.com/
Mezrano Law Firm,https://www.us-barassociation.org/firms/detail/b7b1324b6cae0601,"Mezrano Law Firm is a personal injury firm based in Birmingham, Alabama that serves clients throughout the state with additional office locations.",Phone(s): (205) 206-6300 or (866) 293-8119,"1801 Oxmoor Road, Suite 100
Birmingham, Alabama
35209",https://mezrano.com/
Morgan & Morgan,https://www.us-barassociation.org/firms/detail/715a4be47d7ec4f0,"Car accident lawyers are the first line of defense between injured clients and the companies and individuals who have wronged them. Morgan & Morgan attorneys are part of one of the most expansive personal injury law firms in the nation, spanning more than 50 offices, including the one here in Birmingham. Our attorneys are prepared to hear your case and to provide you with expert counsel. Schedule your free case evaluation today. As one of the country’s fastest-growing personal injury law firms, Morgan & Morgan has helped thousands of clients in various cases, including car accidents, slip-and-falls, nursing home abuse, consumer protection, and medical malpractice. With decades of experience, more than 500 lawyers, and a support staff of over 2,000 employees, our firm has helped more than 100,000 clients nationwide recover billions of dollars. In their efforts to protect the people, not the powerful, our attorneys have established a standing among defense attorneys and insurance providers alike as leading trial lawyers.",Phone(s): (205) 517-6900 or (877) 667-4265,"2031 2nd Ave. North
Birmingham, Alabama
35203",https://www.forthepeople.com/birmingham/
"Morris, King & Hodge, P.C.",https://www.us-barassociation.org/firms/detail/cf41e5f540466e20,"Since 1966, our lawyers have been standing up for injured victims and taking cases to court in North Alabama and all across the state. If you’re hurt in an accident, you want to be sure that you have the most qualified injury & accident lawyers representing you with a proven track record representing injured victims in the courts.

Our firm’s reputation has earned it a listing in the Bar Registry of Preeminent Lawyers. Our firm has obtained several verdicts in excess of a million dollars for our clients in federal and state courts throughout North Alabama.

When you choose Morris, King & Hodge, P.C., you can rest easy knowing you’ve chosen a respected personal injury law firm with highly-rated attorneys.

Morris, King & Hodge, P.C., is AV rated by Martindale-Hubbell. The AV ranking is the highest rating possible. A rating of “AV®” for a law firm indicates that the highest ranked principal of the firm has a rating of “AV®”",Phone(s): (256) 290-0404,"623 S. Seminary Street, Suite 129
Florence, Alabama
35630",N/A
"Najjar Denaburg, P.C.",https://www.us-barassociation.org/firms/detail/4ad17f9320518dd8,N/A,N/A,N/A,N/A
"O'Hara Watkins, LLC",https://www.us-barassociation.org/firms/detail/87fb7fb94a6f5a65,"O'Hara Watkins LLC represents businesses and individuals in Daphne, Alabama, in nearby Mobile, and anywhere on the Eastern Shore. We are litigation lawyers who work to secure optimum results matters involving business, construction, banking, business bankruptcy, and civil matters.

Offering relevant and candid business advice, O’Hara Watkins helps clients lay a solid foundation during business formation including choice of entity, ownership agreements, corporate governance, financing, regulatory compliance, insurance, employment agreements and protocols, and land use and permitting. Our skilled civil litigation attorneys represent plaintiffs and defendants, individuals and businesses, in the state and federal courts of Alabama and Mississippi.

We represent our clients armed with industry-specific information. With more than 45 years of combined legal experience, our skills have been tested in negotiations, mediation, arbitration, at trial, and on appeals. At O'Hara Watkins, we aggressively assert your rights and work to advance your goals and will pursue a resolution that maximizes the value of the overall litigation.",Phone(s): (251) 414-7772,"1307 Main Street
Daphne, Alabama
36526",https://www.oharawatkins.com/
Ogletree Deakins,https://www.us-barassociation.org/firms/detail/62f4e2781ecd9d59,N/A,N/A,N/A,N/A
"Parkman White, LLP",https://www.us-barassociation.org/firms/detail/fd515834f99c2b24,N/A,N/A,N/A,N/A
"Parsons, Lee & Juliano, P.C.",https://www.us-barassociation.org/firms/detail/5d61b3a28a0b63df,N/A,N/A,N/A,N/A
"Porterfield, Harper, Mills, Motlow & Ireland P.A.",https://www.us-barassociation.org/firms/detail/088042d505596daa,"The law firm of Porterfield, Harper, Mills, Motlow & Ireland, P.A., with an emphasis on trial work, appeals and business representation, places great emphasis on professionalism and preparation for clients on a state, regional, and national level. The firm handles a variety of civil litigation cases, involving personal injury, automobile, product liability, premises liability, medical malpractice, building and construction defect cases, business torts litigation, workers' compensation, professional liability, real estate, probate, and class action defense.

Porterfield, Harper, Mills, Motlow & Ireland, P.A., prides itself on hiring highly qualified attorneys, many of whom graduated with high honors from universities such as Washington and Lee, Vanderbilt, Alabama, and Cumberland School of Law. Larry Harper, a senior partner, acknowledges that ""What makes an effective defense trial lawyer is a combination of preparation, flexibility, persuasiveness, sincerity, and an enjoyment of trial work. You cannot fool twelve people on a jury. It doesn't matter how good a lawyer you are, you must be sincere and you must be able to think on your feet.""

Located in Birmingham, Alabama, Porterfield, Harper, Mills, Motlow & Ireland, P.A., practices in every county in the state of Alabama. We have lawyers admitted to every Federal Court in Alabama as well as the Eleventh Circuit Court of Appeals in Atlanta and the United States Supreme Court.",Phone(s): (205) 980-5000,"22 Inverness Center Parkway, Suite 600
Birmingham, Alabama
35242",N/A
"Powell & Denny, P.C.",https://www.us-barassociation.org/firms/detail/28aa4b8f916f7302,"Powell & Denny, P.C. is located in Birmingham, Alabama, serving clients in Jefferson and Madison Counties and the surrounding region. Practice areas include workers’ compensation, on-the-job vehicle accidents, Social Security Disability Insurance (SSD/SSDI), and Supplemental Security Income (SSI) benefits.

William V. Powell, Jr. and Gregory T. Denny have 25 years of legal experience and have served in the Workers’ Compensation Sections of the Birmingham Bar and the Alabama Association for Justice. Between them, they are admitted to the Alabama State Bar, the U.S. District Court for the Northern and Middle Districts of Alabama and the U.S. Court of Appeals for the Eleventh Circuit.

Powell & Denny can explain the interactions between SSD and workers’ compensation and how these can affect a client’s case. The attorneys offer knowledgeable assistance with workers’ compensation claim disputes and settlements as well as a deep understanding of the processes and rules of Social Security Disability. Since 1998, the firm has helped hundreds of clients, with the goal of maximizing the compensation they receive.",Phone(s): (205) 978-2051 or (800) 549-5161,"1320 Alford Avenue, Suite 201
Birmingham, Alabama
35226",https://www.powellanddenny.com/
"Price & Flowers Law Firm, PC",https://www.us-barassociation.org/firms/detail/4b2a79e52740f69a,"Price & Flowers Law Firm, P.C. is a DUI defense firm located in Hunstville, Alabama and serves clients throughout the state. The dedicated team of DUI defense attorneys stands ready to help clients fight their DUI criminal charges.",Phone(s): (256) 536-6000,"217 Randolph Avenue Southeast
Huntsville, Alabama
35801",https://www.alabamaduiattorney.com/
"Prince, Glover & Hayes",https://www.us-barassociation.org/firms/detail/d0a77bdc9b95a168,N/A,N/A,N/A,N/A
Reynolds Law Firm,https://www.us-barassociation.org/firms/detail/c064c9571ef41e24,N/A,N/A,N/A,N/A
"Richardson Maples, PC",https://www.us-barassociation.org/firms/detail/f817cf940ef88ec6,N/A,N/A,N/A,N/A
"Ritchey & Ritchey, PA",https://www.us-barassociation.org/firms/detail/75ca5fe6e54e5d4b,"Since its founding in 1959, Ritchey & Ritchey, PA has been helping clients in Birmingham, Alabama in a variety of construction, insurance, and employment law matters. The firm's partners have had over 200 years of combined experience, and time after time have been recognized in the media for their high quality work. Ritchey & Ritchey prides itself not only on its history of success, but also for its dedication to its clients.

The firm handles cases from a wide range of practice areas. In addition to insurance defense, construction law, and employment law, the firm also handles manufactured housing cases, and many more types of legal matters. There is no case too big or small for the firm to take on.

If you are in need of an attorney, it is important to work with one you can trust. The attorneys at the law offices of Ritchey & Ritchey have years of experience, and will put their skills to work to help your case achieve favorable results.",Phone(s): (205) 332-1618,"1740 Oxmoor Road, Suite 100
Birmingham, Alabama
35209",https://www.ritcheylaw.com/
Rushton Stakely,https://www.us-barassociation.org/firms/detail/e626ee9b0931409f,N/A,N/A,N/A,N/A
"S. Scott Allums, PC",https://www.us-barassociation.org/firms/detail/e4f0ceb51de028aa,N/A,N/A,N/A,N/A
"Salter Ferguson, LLC",https://www.us-barassociation.org/firms/detail/ca3a04d743bacbcd,"Salter Ferguson, LLC is a full-service personal injury firm located in Birmingham and serves clients throughout Central Alabama. Practice areas include vehicle-related accidents, pedestrian and bicycle accidents, product and premises liability, catastrophic injuries, nursing home abuse and neglect, pharmacy errors, hospital negligence, injuries to children, and other injuries, as well as mass torts and wrongful death.

The mother-daughter legal team has more than 30 combined years of legal experience and brings a breadth of life experience to the practice of law. Karen Salter is a registered nurse and a former hospital manager; her daughter, Carmen Ferguson, is a former insurance adjuster. They bring valuable insight into personal injury and wrongful death claims.

With personal service, Salter Ferguson, LLC is dedicated to protecting clients’ rights and pursuing the most positive outcomes in helping them recover financial compensation.",Phone(s): (205) 408-4357,"4000 Eagle Point Corporate Drive, Suite 600
Birmingham, Alabama
35242",https://www.salterferguson.com/
Sanford Law Firm,https://www.us-barassociation.org/firms/detail/4a081696f3c19fb1,"Sanford Law Firm is a labor and employment law firm located in Birmingham, Alabama that represents employees and unions throughout the region. Practice areas include wrongful termination, discrimination, harassment, employment agreements, whistleblower claims, wage and hour violations, collective bargaining negotiations, and other employment matters.

The accomplished labor and employment litigators are skillful negotiators who have extensive trial experience and in-depth knowledge of relevant laws and local courts. They have extensive backgrounds in employment law and provide advice that is tailored to each client’s specific situation. The attorneys represent workers in courts and before administrative board such as the Equal Employment Opportunity Commission (EEOC).

Sanford Law Firm offers personalized attention and dedicated advocacy while providing strategic representation that is designed to protect clients’ rights and maximize the likelihood of a successful outcome.",Phone(s): (205) 675-0383,"300 Richard Arrington Jr. Blvd. North, Suite 500
Birmingham, Alabama
35203",https://www.firedinalabama.com/
"Scott, Sullivan, Streetman & Fox, PC",https://www.us-barassociation.org/firms/detail/4e24c3646de70e50,N/A,N/A,N/A,N/A
"Scott, Sullivan, Streetman & Fox, PC",https://www.us-barassociation.org/firms/detail/6bbc929bce33f408,N/A,N/A,N/A,N/A
"Serious Injury Law Group, PC",https://www.us-barassociation.org/firms/detail/b997557e8d9b11ac,"Serious Injury Law Group, P.C. is a personal injury firm located in Birmingham, Alabama and serves clients throughout Montgomery, Mobile, and Lowndes County and the surrounding region.",Phone(s): (205) 315-9974 or (877) 978-3275,"One Chase Corporate Drive, Suite 400
Birmingham, Alabama
35244",https://www.seriouslawyers.com/
"Shealy, Crum & Pike",https://www.us-barassociation.org/firms/detail/ebebaad7dccdd4c9,"Shealy, Crum & Pike is a personal injury law firm based in Dothan, Alabama providing legal services to clients throughout the nearby cities and counties of Alabama. Founding attorney Steadman Shealy is a former University of Alabama quarterback and brings the discipline, teamwork, and perseverance he had on the field to his law firm. The firm’s attorneys combine over 70 years of legal knowledge between them and have the experience to take on even the most complex cases. They are experts on matters of personal injury due to their experience as injury attorneys as well as insurance defense attorneys.

The team at Shealy, Crum & Pike fights dedicatedly for the rights of their clients, and has assisted clients with personal injury cases ranging from product liability to motor vehicle accidents, as well as catastrophic injuries and wrongful death. They are also proud to assist injured workers with the filing process for a workers’ compensation claim. Their experience as insurance defense attorneys allows them to evaluate every case realistically and pursue the best results for their clients.

If you or a loved one has been the victim of an injury that was caused by someone else’s negligence, contact a personal injury lawyer immediately. Decisions made in haste without being properly informed can lead to a sloppy settlement that is far from fair. The team at Shealy, Crum & Pike can help make sure that your rights are protected and that your case is resolved with the best possible results.",Phone(s): (334) 677-3000,"2346 West Main Street
Dothan, Alabama
36301",https://www.shealycrumandpike.com/
"Siniard, Timberlake & League, P.C.",https://www.us-barassociation.org/firms/detail/6c4f2c3d839e086e,"Siniard, Timberlake & League, P.C. is a personal injury firm located in Huntsville that serves clients in North Alabama and throughout the state.",Phone(s): (256) 536-0770 or (800) 804-2502,"125 Holmes Avenue Northwest
Huntsville, Alabama
35801",https://www.law-injury.com/
"Sirote & Permutt, PC",https://www.us-barassociation.org/firms/detail/9ca7bd9717521074,N/A,N/A,N/A,N/A
"Sirote & Permutt, PC",https://www.us-barassociation.org/firms/detail/ee56b93a0fcfb408,N/A,N/A,N/A,N/A
"Slaten Law, P.C.",https://www.us-barassociation.org/firms/detail/fbf6705e7aec9264,N/A,N/A,N/A,N/A
