Firm,Link,Practice Area
"Eversole Law, LLC",https://www.us-barassociation.org/firms/detail/a83b96b4224879a9,"Criminal Defense, Government"
"Farris, Riley & Pitt, LLP",https://www.us-barassociation.org/firms/detail/ce47e113c5d95fc4,"Business Law, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Fischer & Associates, LLC",https://www.us-barassociation.org/firms/detail/d6ff5b62827c4223,"Business Law, Employment, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
FordHarrison,https://www.us-barassociation.org/firms/detail/fce8234b9d1466f3,"Business Law, Motor Vehicle Accidents, Real Estate"
"Frances H. Hollinger, Attorney at Law",https://www.us-barassociation.org/firms/detail/f8175e2b52a79e3a,"Bankruptcy, Business Law"
"Gina H. McDonald & Associates, L.L.C.",https://www.us-barassociation.org/firms/detail/a6f9110400f2197f,"Bankruptcy, Business Law, Criminal Defense, Divorce, Family Law, Litigation, Motor Vehicle Accidents, Personal Injury"
"Gina H. McDonald & Associates, L.L.C.",https://www.us-barassociation.org/firms/detail/7424ece559da9473,"Bankruptcy, Business Law, Criminal Defense, Divorce, Family Law, Litigation, Motor Vehicle Accidents, Personal Injury"
"Greenway Law, LLC",https://www.us-barassociation.org/firms/detail/ab62c962c7997c68,"Bankruptcy, Business Law"
"Griffith, Little & Lowry, LLC",https://www.us-barassociation.org/firms/detail/bb0eaa3306acd23e,"Business Law, Employment, Motor Vehicle Accidents, Personal Injury"
Hall & Tucker,https://www.us-barassociation.org/firms/detail/c3c664e2c3189cae,"Criminal Defense, Divorce, Family Law, Motor Vehicle Accidents, Personal Injury"
"Hall Booth Smith, P.C.",https://www.us-barassociation.org/firms/detail/fd9b362dbfb31b6e,"Bankruptcy, Business Law, Commercial Law, Employment, Estate Planning, Government, Immigration, Intellectual Property, Litigation, Motor Vehicle Accidents, Personal Injury, Real Estate"
Hall Tanner & Hargett P.C.,https://www.us-barassociation.org/firms/detail/9e5f4cc450239dda,"Business Law, Estate Planning, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Henry C. Dailey Jr., PC",https://www.us-barassociation.org/firms/detail/ff82ce6973cf411f,"Employment, Motor Vehicle Accidents, Personal Injury"
"Hill, Hill, Carter, Franco, Cole & Black, PC",https://www.us-barassociation.org/firms/detail/85327611a2304598,"Business Law, Commercial Law, Criminal Defense, Employment, Estate Planning, Government, Industry, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Holberg and Holberg, P.C.",https://www.us-barassociation.org/firms/detail/cfd2a749de5c4ba0,"Business Law, Commercial Law, Criminal Defense, Estate Planning, Litigation, Motor Vehicle Accidents, Personal Injury"
"Huie, Fernambucq & Stewart, LLP",https://www.us-barassociation.org/firms/detail/8a180f4b7837a371,"Business Law, Commercial Law, Employment, Industry, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
Jackson Lewis P.C.,https://www.us-barassociation.org/firms/detail/eec406fb02b65ea1,"Business Law, Criminal Defense, Employment, Health Care & Social, Immigration, Industry, Litigation, Personal Injury, Real Estate"
"Johnstone Carroll, LLC",https://www.us-barassociation.org/firms/detail/5d941682359b08d5,"Business Law, Employment, Industry, Litigation, Motor Vehicle Accidents, Personal Injury"
"Junkin, Pearson, Harrison, Junkin & Pate LLC",https://www.us-barassociation.org/firms/detail/9eca97b1650e12a0,"Business Law, Motor Vehicle Accidents, Personal Injury"
"King & Green, LLC",https://www.us-barassociation.org/firms/detail/110b2e65831f6cb4,"Criminal Defense, Divorce, Estate Planning, Family Law, Litigation, Motor Vehicle Accidents, Personal Injury, Real Estate"
Lasseter Law Firm PC,https://www.us-barassociation.org/firms/detail/d8cb82cb098093c0,"Employment, Litigation, Motor Vehicle Accidents, Personal Injury"
Law Office of Frances Hoit Hollinger,https://www.us-barassociation.org/firms/detail/7c02d5dfa90b8f68,"Bankruptcy, Business Law"
"Law Office of Zach Horsley, LLC",https://www.us-barassociation.org/firms/detail/85a3185b4771fca1,"Criminal Defense, Divorce, Family Law"
"Leitman, Siegal & Payne, P.C.",https://www.us-barassociation.org/firms/detail/3cf92587583eba76,"Business Law, Tax"
"Lightfood, Franklin & White, L.L.C.",https://www.us-barassociation.org/firms/detail/7039ab88c94f77ae,"Business Law, Criminal Defense, Employment, Industry, Litigation, Personal Injury, Real Estate"
Littler Mendelson P.C.,https://www.us-barassociation.org/firms/detail/aab5c4d63d6e0393,"Business Law, Employment, Immigration, Litigation, Motor Vehicle Accidents"
Luckey & Mullins PLLC,https://www.us-barassociation.org/firms/detail/948178ab136540f4,"Business Law, Industry, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Mark A. Jackson, PC",https://www.us-barassociation.org/firms/detail/dfc8686760003504,"Employment, Industry, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Marks & Associates, PC",https://www.us-barassociation.org/firms/detail/77c3bc20b4638061,"Bankruptcy, Business Law"
"Marsh, Rickard & Bryan, PC",https://www.us-barassociation.org/firms/detail/851d37eb3e6f2581,"Business Law, Commercial Law, Employment, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Martin & Helms, P.C.",https://www.us-barassociation.org/firms/detail/9d743aea642f9dcc,"Business Law, Litigation, Motor Vehicle Accidents, Personal Injury"
"Martinson & Beason, PC",https://www.us-barassociation.org/firms/detail/b2185e2faa2529f6,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Divorce, Employment, Estate Planning, Family Law, Health Care & Social, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Mastando & Artrip, LLC",https://www.us-barassociation.org/firms/detail/c18f9c08e6058ebb,"Business Law, Commercial Law, Employment, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
Maynard Cooper & Gale,https://www.us-barassociation.org/firms/detail/7d6f1218709d48f4,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Employment, Estate Planning, Government, Industry, Litigation, Personal Injury, Real Estate"
Maynard Cooper & Gale,https://www.us-barassociation.org/firms/detail/41a2d9d88d3081a5,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Employment, Estate Planning, Government, Industry, Litigation, Personal Injury, Real Estate"
McGlinchey Stafford PLLC,https://www.us-barassociation.org/firms/detail/e199debef56d39b2,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Estate Planning, Family Law, Industry, Litigation, Personal Injury, Real Estate"
McGuire & Associates,https://www.us-barassociation.org/firms/detail/99dd955e19c2471b,"Business Law, Commercial Law, Employment, Litigation"
Mezrano Law Firm,https://www.us-barassociation.org/firms/detail/b7b1324b6cae0601,"Employment, Health Care & Social, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
Morgan & Morgan,https://www.us-barassociation.org/firms/detail/715a4be47d7ec4f0,"Business Law, Employment, Estate Planning, Health Care & Social, Industry, Intellectual Property, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Morris, King & Hodge, P.C.",https://www.us-barassociation.org/firms/detail/cf41e5f540466e20,N/A
"Najjar Denaburg, P.C.",https://www.us-barassociation.org/firms/detail/4ad17f9320518dd8,"Bankruptcy, Business Law, Estate Planning, Litigation"
"O'Hara Watkins, LLC",https://www.us-barassociation.org/firms/detail/87fb7fb94a6f5a65,"Bankruptcy, Business Law, Commercial Law, Employment, Intellectual Property, Litigation, Personal Injury, Real Estate"
Ogletree Deakins,https://www.us-barassociation.org/firms/detail/62f4e2781ecd9d59,"Government, Immigration, Litigation, Real Estate"
"Parkman White, LLP",https://www.us-barassociation.org/firms/detail/fd515834f99c2b24,"Criminal Defense, Government, Motor Vehicle Accidents, Personal Injury"
"Parsons, Lee & Juliano, P.C.",https://www.us-barassociation.org/firms/detail/5d61b3a28a0b63df,"Business Law, Employment, Litigation, Personal Injury, Real Estate"
"Porterfield, Harper, Mills, Motlow & Ireland P.A.",https://www.us-barassociation.org/firms/detail/088042d505596daa,N/A
"Powell & Denny, P.C.",https://www.us-barassociation.org/firms/detail/28aa4b8f916f7302,"Employment, Health Care & Social, Motor Vehicle Accidents, Personal Injury"
"Price & Flowers Law Firm, PC",https://www.us-barassociation.org/firms/detail/4b2a79e52740f69a,Criminal Defense
"Prince, Glover & Hayes",https://www.us-barassociation.org/firms/detail/d0a77bdc9b95a168,"Business Law, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
Reynolds Law Firm,https://www.us-barassociation.org/firms/detail/c064c9571ef41e24,"Divorce, Employment, Health Care & Social, Motor Vehicle Accidents, Personal Injury"
"Richardson Maples, PC",https://www.us-barassociation.org/firms/detail/f817cf940ef88ec6,"Business Law, Employment, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Ritchey & Ritchey, PA",https://www.us-barassociation.org/firms/detail/75ca5fe6e54e5d4b,"Business Law, Commercial Law, Divorce, Employment, Estate Planning, Litigation, Personal Injury, Real Estate"
Rushton Stakely,https://www.us-barassociation.org/firms/detail/e626ee9b0931409f,"Bankruptcy, Business Law, Commercial Law, Employment, Estate Planning, Government, Health Care & Social, Industry, Intellectual Property, Litigation, Personal Injury, Real Estate, Tax"
"S. Scott Allums, PC",https://www.us-barassociation.org/firms/detail/e4f0ceb51de028aa,"Bankruptcy, Estate Planning"
"Salter Ferguson, LLC",https://www.us-barassociation.org/firms/detail/ca3a04d743bacbcd,"Business Law, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
Sanford Law Firm,https://www.us-barassociation.org/firms/detail/4a081696f3c19fb1,"Employment, Litigation"
"Scott, Sullivan, Streetman & Fox, PC",https://www.us-barassociation.org/firms/detail/4e24c3646de70e50,"Business Law, Employment, Government, Industry, Litigation, Personal Injury, Real Estate"
"Scott, Sullivan, Streetman & Fox, PC",https://www.us-barassociation.org/firms/detail/6bbc929bce33f408,"Business Law, Employment, Government, Industry, Litigation, Personal Injury, Real Estate"
"Serious Injury Law Group, PC",https://www.us-barassociation.org/firms/detail/b997557e8d9b11ac,"Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Shealy, Crum & Pike",https://www.us-barassociation.org/firms/detail/ebebaad7dccdd4c9,"Business Law, Employment, Estate Planning, Litigation, Motor Vehicle Accidents, Personal Injury"
"Siniard, Timberlake & League, P.C.",https://www.us-barassociation.org/firms/detail/6c4f2c3d839e086e,"Business Law, Employment, Industry, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Sirote & Permutt, PC",https://www.us-barassociation.org/firms/detail/9ca7bd9717521074,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Divorce, Employment, Estate Planning, Family Law, Government, Health Care & Social, Industry, Intellectual Property, Litigation, Real Estate, Tax"
"Sirote & Permutt, PC",https://www.us-barassociation.org/firms/detail/ee56b93a0fcfb408,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Divorce, Employment, Estate Planning, Family Law, Government, Health Care & Social, Industry, Intellectual Property, Litigation, Real Estate, Tax"
"Slaten Law, P.C.",https://www.us-barassociation.org/firms/detail/fbf6705e7aec9264,"Business Law, Employment, Litigation, Medical Malpractice, Personal Injury, Real Estate"
"Spain & Gillon, LLC",https://www.us-barassociation.org/firms/detail/8ec1ef9555ba0084,N/A
"Sree B. Ravi, P.C., Attorney at Law",https://www.us-barassociation.org/firms/detail/a406fd3ea254e699,"Criminal Defense, Divorce, Estate Planning, Family Law, Litigation"
Starnes Davis Florie LLP,https://www.us-barassociation.org/firms/detail/62a8892b1c331359,"Business Law, Commercial Law, Employment, Government, Health Care & Social, Industry, Intellectual Property, Litigation, Medical Malpractice, Personal Injury, Real Estate"
Starnes Davis Florie LLP,https://www.us-barassociation.org/firms/detail/45fa312bb1caa6ad,"Business Law, Commercial Law, Employment, Government, Health Care & Social, Industry, Intellectual Property, Litigation, Medical Malpractice, Personal Injury, Real Estate"
"Stewart Howard, PC",https://www.us-barassociation.org/firms/detail/779b582e4f26ea9c,"Employment, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Stokes Stemle, LLC",https://www.us-barassociation.org/firms/detail/504f65e45d4c5edb,"Business Law, Motor Vehicle Accidents, Personal Injury"
"Swift, Currie, McGhee & Hiers, LLP",https://www.us-barassociation.org/firms/detail/f22168b710e55674,"Business Law, Criminal Defense, Employment, Litigation, Medical Malpractice, Personal Injury, Real Estate"
Taylor & Taylor,https://www.us-barassociation.org/firms/detail/3bb411645bf1496d,"Business Law, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
Taylor & Taylor,https://www.us-barassociation.org/firms/detail/aad12bde415b3363,"Business Law, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"The Anderson Law Firm, L.L.C.",https://www.us-barassociation.org/firms/detail/02ed56ad0f910fc1,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Divorce, Employment, Estate Planning, Litigation, Motor Vehicle Accidents, Personal Injury"
"The Atchison Firm, P.C.",https://www.us-barassociation.org/firms/detail/e2bbc35e33bed197,"Business Law, Employment, Estate Planning, Government, Litigation, Personal Injury, Real Estate"
"The Dodd Law Firm, LLC",https://www.us-barassociation.org/firms/detail/cdcb80c7ce2da167,Criminal Defense
The Hawkins Law Firm,https://www.us-barassociation.org/firms/detail/01339dd63b4df782,N/A
"The Law Offices of Brian Turner, LLC",https://www.us-barassociation.org/firms/detail/f17d6d0c3b792292,"Business Law, Divorce, Family Law, Health Care & Social, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"The Law Offices of Rufus R. Smith, Jr.",https://www.us-barassociation.org/firms/detail/b71400fb768897aa,"Business Law, Employment, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
The Law Offices of Zackery L. Burr,https://www.us-barassociation.org/firms/detail/b02a28892b7ccfb7,"Divorce, Estate Planning, Family Law"
"The Martin Law Group, LLC",https://www.us-barassociation.org/firms/detail/f14b600f0f575488,"Business Law, Employment, Health Care & Social"
The Segrest Law Firm,https://www.us-barassociation.org/firms/detail/7a74c9582eb8f864,"Business Law, Criminal Defense, Divorce, Employment, Estate Planning, Family Law, Litigation, Personal Injury, Real Estate"
"The Wininger Law Firm, LLC",https://www.us-barassociation.org/firms/detail/21f7151474428bfb,"Business Law, Criminal Defense, Employment, Industry, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"The Yeatts Law Firm, LLC",https://www.us-barassociation.org/firms/detail/31c25027caa22fa0,N/A
"Thomas, Means, Gillis & Seay, P.C.",https://www.us-barassociation.org/firms/detail/9efddcb8b898c043,"Business Law, Criminal Defense, Employment, Estate Planning, Health Care & Social, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Wallace, Jordan, Ratliff & Brandt, L.L.C",https://www.us-barassociation.org/firms/detail/b825ded59bf9dda9,"Bankruptcy, Business Law, Commercial Law, Estate Planning, Government, Industry, Intellectual Property, Litigation, Motor Vehicle Accidents, Real Estate"
Waller,https://www.us-barassociation.org/firms/detail/9d7d1b4c21d251a6,"Business Law, Commercial Law, Industry, Real Estate"
"Walton Law Firm, PC",https://www.us-barassociation.org/firms/detail/d281ea20d8f2af85,"Criminal Defense, Employment, Motor Vehicle Accidents, Personal Injury"
Warhurst Law,https://www.us-barassociation.org/firms/detail/69f9a35943fd93ac,"Business Law, Motor Vehicle Accidents, Personal Injury"
"Watson Graffeo, PC",https://www.us-barassociation.org/firms/detail/56946ef7a0636550,"Business Law, Criminal Defense, Divorce, Family Law, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Whittelsey, Whittelsey, Poole and Corley, PC",https://www.us-barassociation.org/firms/detail/c9816ecbba6b917a,"Business Law, Criminal Defense, Divorce, Estate Planning, Family Law, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Wiggins, Childs, Quinn & Pantazis, LLC",https://www.us-barassociation.org/firms/detail/c3d2eee7239868d5,"Business Law, Commercial Law, Employment, Industry, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
"William L. Pfeifer, Jr.",https://www.us-barassociation.org/firms/detail/64e80dcf560105f0,"Criminal Defense, Divorce, Family Law, Immigration, Litigation, Personal Injury"
"Yearout & Traylor, P.C.",https://www.us-barassociation.org/firms/detail/b97773bfa525de4e,"Bankruptcy, Employment, Industry, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
