Firm,Link,Description,Phone,Address,State,Website,Practice Area
"Bressler, Amery & Ross, PC",https://www.us-barassociation.org/firms/detail/ac9730782a14f43e,"Bressler, Amery & Ross is a preeminent, national, full-service law firm that is committed to raising the bar. Through our network of more than 160 attorneys across our offices in New Jersey, New York, Florida, Alabama and Washington, D.C., we have a comprehensive geographic footprint to represent clients on a local, regional, national, and cross-border basis. We provide personalized, responsive and hands-on legal services to businesses and individuals including Fortune 100 and 500 Corporations, mid-sized and privately held companies, investment advisers, brokerage firms, financial institutions, financial services firms, national insurers, non-profit organizations, emerging and start up companies, high-net-worth individuals and other corporate clients.

Bressler’s market lead and distinguished national practice in securities, banking, investments, and financial institutions, coupled with our extensive industry and regulatory expertise, uniquely positions us to provide clients with a full suite of first-class legal representation across numerous industries and more than two dozen practice area specialties. Our culture is geared toward building lifelong personal relationships, and clients have come to identify Bressler as a firm of both excellent lawyers and caring people. We are noted for our commitment to collegiality, client service and our desire to go above and beyond to assist clients with their most complex and demanding legal challenges. In everything we do, in every relationship, and in every matter, we strive for integrity and to uphold the highest standards of our profession in the service of our clients.

We are at the cutting edge of current legal and business issues, and we help our clients remain there too. Bressler has been recognized in several leading publications including U.S. News' Best Lawyers in America and Best Law Firms, Chambers USA, Super Lawyers and Super Lawyers Rising Stars lists, Business Journal’s Top Law Firms list and Rising Stars lists, the National Law Journal‘s top 350 law firm’s list and as a New Jersey Law Journal’s Top 20 Law Firm. As leaders in these and many other legal and industry organizations, we guide discussions that shape the legal and business landscape.",Phone(s): (205) 719-0400,"2001 Park Place North, Suite 1500
Birmingham, Alabama
35203", Alabama,N/A,"Bankruptcy, Business Law, Commercial Law, Employment, Litigation, Personal Injury"
"Briskman & Binion, PC",https://www.us-barassociation.org/firms/detail/d173346ce3a0811b,"Briskman & Binion, P.C. is listed in the Bar Register of Preeminent Lawyers and since its formation. The Firm was formed January 1, 1988 by Donald Briskman and Mack Binion who previously were partners in other firms. Prior to joining the Firm in 1994, Christ Coumanis served as Assistant District Attorney in Mobile County for five years. The Firm reflects the diverse litigation specialties of its members.

Mr. Briskman concentrates his practice in the area of personal injury and wrongful death, employment, criminal defense and family law. Mr. Binion focuses on insurance, corporate, employment, contracts, class actions, commercial and construction litigation. Mr. Coumanis’ trial practice emphasizes personal injury and wrongful death, maritime, employment and criminal defense. The Firm encourages professional development of attorneys and staff. The attorneys have frequently served as faculty and guest lecturers in Continuing Legal Education seminars. Firm members and staff are active in numerous professional associations, and have served as officers and Board Members. Several staff members are members of the National Association for Legal Professionals (NALS), with one having received her Paralegal Professional Certification (PPC) and Advanced Certification for Legal Professionals (PLS).

Members of the Firm are respected practitioners in Federal and State courts. Due to a reputation for being lawyers other lawyers turn to, a substantial part of the Firm's practice consists of referrals. Briskman & Binion has earned a sterling reputation for handling matters competently, timely and professionally with a responsibility to clients and referring attorneys.",Phone(s): (251) 433-7600,"205 Church Street
Mobile, Alabama
36601", Alabama,N/A,"Business Law, Employment, Industry, Intellectual Property, Litigation, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Burge & Burge, PC",https://www.us-barassociation.org/firms/detail/52cdb63954dfcc35,"Burge & Burge, PC is a personal injury and employment law firm, located in Birmingham Alabama, which has served clients throughout a large part of the state in matters including worker's compensation, FELA disputes and Social Security Disability benefits claims. The firm's caring attorneys know that a serious injury is often a life-changing and frightening experience.

When it happens at work, clients are protected under the law and owed compensation in most cases and the firm understands what it takes to get money out of even the most powerful insurance companies, regardless of the injury's nature. If the matter can't be resolved through mediation, the firm's attorneys prepare extensively and arrive at trial with a thorough and compelling case on behalf of their clients.

Burge & Burge, PC provides an opportunity to stop worrying about how medical or other bills will be paid and start feeling confident that their interests are well served. The firm stays constantly accessible for its clients so that they are able to acquire important updates and information as it pertains to their cases whenever they need. The firm's skilled legal team offers highly personalized and effective representation when insurance companies and employers refuse compensation to which clients are entitled.",Phone(s): (205) 545-8291 or (877) 388-3749,"2001 Park Place, Suite 850
Birmingham, Alabama
35203", Alabama,N/A,"Business Law, Criminal Defense, Employment, Health Care & Social, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Burke Harvey, LLC",https://www.us-barassociation.org/firms/detail/0e40c9af40457855,"Burke Harvey, LLC has devoted 50 years to securing long term disability payments for clients all over the United States. The firm focuses exclusively on long term disability claims, and each attorney's experience in combating insurance companies and businesses of all sizes has brought the firm a record of honorable success.

Burke Harvey, LLC have years of expertise in all types of long term disability, in the diseases and conditions that bring it about, and in the businesses and insurance companies that provide it. Their thorough knowledge of the processes and paperwork involved, as well as all aspects of related law, make them better-equipped than nearly anyone to overcome the many obstacles that businesses and companies will put in the way of a claim. The firm's collective expertise covers long term disability cases across the nation, a knowledge they've used with great success from their office in Birmingham, Alabama, to help people in need from across the US.

No one who may be permanently injured should have to fight for their long-term care. Burke Harvey, LLC have devoted their careers to ensuring that the injured receive the attention and care they deserve.",Phone(s): (205) 930-9091,"3535 Grandview Parkway, Suite 100
Birmingham, Alabama
35243", Alabama,N/A,"Business Law, Employment, Health Care & Social"
Burr & Forman LLP,https://www.us-barassociation.org/firms/detail/230e2e883aebed4c,"Burr & Forman’s experienced legal team serves clients with local, national, and international legal needs. With particular industry strengths in the financial institutions, health care and manufacturing sectors, our attorneys draw from a diverse range of backgrounds and experience to serve as trusted business advisors and legal counsel to help clients achieve their goals. Burr & Forman is a Southeast, regional firm with 360 attorneys and 19 offices in Alabama, Delaware, Florida, Georgia, Mississippi, North Carolina, South Carolina and Tennessee.

We invest our time and talents in our Clients, Colleagues and Communities. It is not just hard work, knowledge and experience that are integral to the quality and delivery of our legal services, it is also a diverse, creative and forward thinking approach that enables us to achieve exceptional results that matter.",Phone(s): (334) 241-7000 or (877) 636-0422,"445 Dexter Avenue, Suite 2040
Montgomery, Alabama
36104", Alabama,N/A,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Employment, Government, Industry, Litigation, Personal Injury, Real Estate"
Burr & Forman LLP,https://www.us-barassociation.org/firms/detail/d7f70c71837073fd,"Burr & Forman’s experienced legal team serves clients with local, national, and international legal needs. With particular industry strengths in the financial institutions, health care and manufacturing sectors, our attorneys draw from a diverse range of backgrounds and experience to serve as trusted business advisors and legal counsel to help clients achieve their goals. Burr & Forman is a Southeast, regional firm with 360 attorneys and 19 offices in Alabama, Delaware, Florida, Georgia, Mississippi, North Carolina, South Carolina and Tennessee.

We invest our time and talents in our Clients, Colleagues and Communities. It is not just hard work, knowledge and experience that are integral to the quality and delivery of our legal services, it is also a diverse, creative and forward thinking approach that enables us to achieve exceptional results that matter.",Phone(s): (205) 251-3000 or (800) 438-2877,"420 North 20th Street, Suite 3400
Birmingham, Alabama
35203", Alabama,N/A,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Employment, Government, Industry, Litigation, Personal Injury, Real Estate"
"Candace B. Peeples, LLC",https://www.us-barassociation.org/firms/detail/c8c7bd67e2031fbd,"Candace B. Peeples, LLC is a family law firm located in Birmingham, Alabama and serves clients throughout the region. Practice areas encompass divorce and legal separation, property division and complex financial issues, alimony, prenuptial and postnuptial agreements, child custody and visitation, child relocation and parental moves, child support, adoption, grandparents’ rights, and juvenile law as well as modification of orders and appeals. In addition to litigation, the firm offers mediation options, either as mediator or lawyer.

Attorney Candace (“Candi”) Peeples has more than 15 years of legal experience, is certified as a specialist in “Family Law Trial Advocacy” by the National Board of Legal Specialty Certification (NBLSC), and is a certified domestic and appellate mediator.

Ms. Peeples understands that family law matters can be stressful, and she helps clients make sense of the legal procedures and processes so they may make informed decisions. She is prepared to represent clients in negotiations and in court, working to protect their rights and interests and preserve families’ futures.",Phone(s): (205) 403-5577,"2956 Rhodes Circle
Birmingham, Alabama
35205", Alabama,https://www.us-barassociation.org/firms/detail/www.peepleslaw.com,"Divorce, Family Law, Litigation"
"Carey & Hamner, P.C.",https://www.us-barassociation.org/firms/detail/328ec98e22471e35,"Carey and Hamner P.C. in Dothan, AL, handles personal injury cases. The firm is dedicated to pursuing rightful compensation for clients suffering injuries from automobile, truck, work and other accidents throughout Alabama.",Phone(s): (855) 435-4797,"102 South Orange Avenue
Dothan, Alabama
36301", Alabama,https://www.careyandhamner.com/,"Business Law, Employment, Health Care & Social, Motor Vehicle Accidents, Personal Injury"
Carr Allison,https://www.us-barassociation.org/firms/detail/eef8a49b3fac5126,"Effective litigators don't just know the law. They know the courts. It's the fundamental philosophy that has guided this firm since day one.

With offices strategically located throughout Alabama and the I-10 Gulf Coast corridor from Gulfport, Mississippi to Tallahassee, Florida, Carr Allison offers the kind of confident legal representation that only comes from firsthand experience. We've accumulated decades of closely cultivated relationshships at the local level, wherever our clients' interests lie.",Phone(s): (205) 822-2006,"100 Vestavia Parkway
Birmingham, Alabama
35216", Alabama,N/A,"Business Law, Employment, Government, Litigation, Motor Vehicle Accidents, Personal Injury, Real Estate"
Carr Allison,https://www.us-barassociation.org/firms/detail/fe00070a0f7747df,"Effective litigators don't just know the law. They know the courts. It's the fundamental philosophy that has guided this firm since day one.

With offices strategically located throughout Alabama and the I-10 Gulf Coast corridor from Gulfport, Mississippi to Tallahassee, Florida, Carr Allison offers the kind of confident legal representation that only comes from firsthand experience. We've accumulated decades of closely cultivated relationshships at the local level, wherever our clients' interests lie.",Phone(s): (251) 626-9340,"6251 Monroe Street, Suite 200
Daphne, Alabama
36526", Alabama,N/A,"Business Law, Employment, Government, Litigation, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Cindee Dale Holmes, LLC",https://www.us-barassociation.org/firms/detail/22116d3124540c9c,"Cindee Dale Holmes, LLC offers advice and debt relief services in Birmingham, Tuscaloosa, Anniston, Bessemer, Homewood, and the surrounding towns in Jasper and Walker counties, Alabama.

The firm practices bankruptcy law in Birmingham, because Ms. Holmes feels a genuine desire to use her legal skills to help improve the lives of her clients.

Cindee Dale Holmes doesn’t believe that there is just one approach when dealing with Birmingham debt reduction, although she does practice a consistent philosophy of compassion when dealing with clients and no-nonsense toughness when it comes to protecting them.

Over twenty-two years of experience as a bankruptcy lawyer in Birmingham has shown Ms. Holmes that the law provides many options for individuals and families that are committed to reducing or eliminating debt with bankruptcy litigation.",Phone(s): (205) 254-3664,"1909 5th Avenue North, Suite 200
Birmingham, Alabama
35203", Alabama,N/A,"Bankruptcy, Business Law"
"Clay, Massey & Associates, P.C.",https://www.us-barassociation.org/firms/detail/da777b563c184c07,"Clay, Massey & Associates, P.C. is an experienced law firm located in Mobile, Alabama. Our three-member attorney team has over 80 years of collective legal experience and we combine the hands-on, results-driven legal service and supportive client services needed when injuries and wrongful death bring difficult changes to families.",Phone(s): (251) 725-9026 or (888) 341-5394,"509 Church Street
Mobile, Alabama
36602", Alabama,N/A,"Employment, Industry, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Cobb, Boyd, White & Cobb",https://www.us-barassociation.org/firms/detail/652e34025921b9eb,"Cobb, Boyd, White & Cobb is a Dothan, Alabama law firm that supplies both plaintiffs and defendants with expert representation regarding personal injury claims. Their comprehensive knowledge and expansive experience enables them to accurate predict the strategy of either side while serving the other, which can be highly advantageous to their clients.

Cobb, Boyd, White & Cobb knows that if you have been injured, you need a dedicated attorney with your best interest in mind. The lawyers of the firm know that you are in pain and facing a lot of stress, and they are strongly dedicated to obtaining the largest amount of compensation possible.

They also understand that some claims are more valid than others, and that there are people who abuse the system. The firm's experience representing plaintiffs provides an strong foundation for defending insurance companies and businesses being unfairly persecuted.

Regardless of your legal matter, the attorneys of the firm are prepared to vigorously assert your position whether in court or at the negotiation table. Their record of exceptional results illustrates an unerring commitment to those they represent.",Phone(s): (877) 781-8895 or (800) 258-7425,"112 Jamestown Boulevard
Dothan, Alabama
36301", Alabama,N/A,"Business Law, Motor Vehicle Accidents, Personal Injury"
"Constangy, Brooks & Smith, LLP",https://www.us-barassociation.org/firms/detail/f9ee35e4309d044c,"Constangy, Brooks & Smith, LLP, is a management-only labor and employment law firm. We handle litigation prevention and defense, labor relations, benefits, immigration, workers' compensation (selected states only), wage and hour, occupational safety and health, and affirmative action. We also have a number of attorneys who are qualified mediators. We have counseled employers since 1946. The firm represents Fortune 500 corporations and smaller companies across the nation. We have more than 130 attorneys in multiple offices throughout the United States. Our attorneys understand what it’s like to walk in clients’ shoes—whether in the board room, the courtroom, or the factory. We communicate with our clients in plain English, not “legalese.” Clients view us as strategic partners, not just legal technicians. Let us help give you a better outlook, too.",Phone(s): (205) 252-9321,"1819 Fifth Avenue North, One Federal Place, Suite 900
Birmingham, Alabama
35203", Alabama,N/A,"Business Law, Commercial Law, Employment, Immigration, Industry, Litigation, Real Estate"
"Covenant Law Firm, PC",https://www.us-barassociation.org/firms/detail/c10e041994d274ef,"Covenant Law Firm, P.C., is a divorce law firm in Birmingham, Alabama that represents businesses and people in all matters of civil litigation. The firm provides legal counsel for lawsuits involving breaches of contract, estate and trust matters, family law matters, tax-related matters, and defense matters.

Barry Vickery, Covenant Law Firm founder, brings a unique perspective and expertise to our diverse practice. Barry has a Master of Business Administration (MBA) degree and is a Certified Public Accountant (CPA). Combining his background in business, accounting, and law with the qualifications of associate attorney Carolynn Moore, our firm offers legal services in the following areas: Business law; Family law; Taxation; Wills, trusts, & estates.

Generally, our firm provides litigation services as well as counseling, support, and document preparation for individuals and businesses.

The goal of Covenant Law Firm, P.C., is to offer a diverse range of affordable legal services to its clients. We represent individuals and businesses throughout the Heart of Dixie, including: Birmingham, Anniston, Montgomery, Tuscaloosa, Jefferson County, Calhoun County, Montgomery County, Tuscaloosa County, Shelby County, St. Clair County.

Our firm was established for the primary purpose of providing faith-based counseling and legal services to help guide individuals in the midst of difficult and trying times. With our attorneys’ diverse professional backgrounds and concentration in financial matters, we are suited to effectively handle your legal needs, including help with divorce laws in Birmingham, Alabama.",Phone(s): (205) 323-6006,"2230 Third Avenue North
Birmingham, Alabama
35203", Alabama,N/A,"Business Law, Criminal Defense, Divorce, Estate Planning, Family Law, Litigation, Tax"
"Cunningham Bounds, LLC",https://www.us-barassociation.org/firms/detail/4710785681785fd5,"Cunningham Bounds, LLC is a personal injury law firm located in Mobile, Alabama and serves clients throughout the state.",Phone(s): (251) 299-0101,"1601 Dauphin Street
Mobile, Alabama
36604", Alabama,https://www.cunninghambounds.com/,"Business Law, Commercial Law, Employment, Industry, Intellectual Property, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Dick & Miller, P.C., Attorneys at Law",https://www.us-barassociation.org/firms/detail/79a63dd62b92e299,"The attorneys of Dick & Miller provide expert representation in business and real estate transactions and disputes, various types of litigation, corporate formation and formality, advanced tax strategy, and estate planning.

At Dick & Miller we provide experienced and aggressive advocacy at a reasonable price for a diverse clientele of individuals and businesses who desire results and appreciate efficient legal representation in matters both simple and complex.",Phone(s): (256) 564-7317,"101 Lowe Avenue SE, Suite 2A
Huntsville, Alabama
35801", Alabama,N/A,"Business Law, Commercial Law, Criminal Defense, Employment, Estate Planning, Government, Industry, Intellectual Property, International Law, Litigation, Real Estate"
Drake Law Firm,https://www.us-barassociation.org/firms/detail/c6a322f97ab8d706,"Drake Law Firm is a personal injury firm located in Birmingham, Alabama and serves clients throughout the state.",Phone(s): (205) 970-0800,"2 Perimeter Park South, Suite 510E
Birmingham, Alabama
35243", Alabama,https://www.drakeinjurylawyers.com/,"Business Law, Employment, Health Care & Social, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Eversole Law, LLC",https://www.us-barassociation.org/firms/detail/a83b96b4224879a9,"Eversole Law Offices attorney strongly believes in the rights granted to criminal defendants under the Bill of Rights. These rights, which are too often ignored, include:

* The right to be considered innocent until proven guilty
* The right to question your accuser
* The right to see and defend against the evidence in your case
* The right to be free of unreasonable searches or illegal seizure of your property",Phone(s): (205) 981-2450 or (866) 831-5292,"850 Corporate Parkway, Suite 114
Birmingham, Alabama
35242", Alabama,N/A,"Criminal Defense, Government"
"Farris, Riley & Pitt, LLP",https://www.us-barassociation.org/firms/detail/ce47e113c5d95fc4,"Farris, Riley & Pitt, LLP is a personal injury firm located in Birmingham, Alabama and serves clients throughout the state.",Phone(s): (205) 407-1805,"505 20th Street North, Suite 1700
Birmingham, Alabama
35203", Alabama,https://www.frplegal.com/,"Business Law, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Fischer & Associates, LLC",https://www.us-barassociation.org/firms/detail/d6ff5b62827c4223,"When it comes to customer service and dedication, Fischer & Associates, LLC is unmatched. Whether we are handling a personal injury matter or a business and commercial litigation case, we are committed to delivering client-focused services that are always professional and timely. Regardless of how complex your case is, we are confident in our abilities to assist you.

Our firm is proud of our proven track record of success, which serves as a testament to the kind of consistent results we are capable of delivering. In fact, we have secured more than $170 million in compensation for injured victims throughout Birmingham, AL! None of this would be possible without the direction of our firm’s founder, Erby Fischer. He began his career in 1996 and co-founded a law firm in Tuscaloosa in 2000. Shortly thereafter, he formed a firm in Birmingham where he has practiced ever since. As an AV® Rated by Martindale-Hubbell® with more than 15 years of experience, he has the extensive legal insight required to tackle cases of any scope.

If you have been looking for a law firm to handle your personal injury case, we are ready to step in and take care of all the details for you. As our client, you won’t have to worry about filling paperwork or meeting deadlines. We are here to provide you with the step-by-step guidance you deserve. Experience the highest levels of legal excellence today.",Phone(s): (205) 423-8504 or (866) 557-8504,"2201 Providence Park, Suite 200
Birmingham, Alabama
35242", Alabama,N/A,"Business Law, Employment, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
FordHarrison,https://www.us-barassociation.org/firms/detail/fce8234b9d1466f3,"Founded in Atlanta in 1978, FordHarrison has built a national practice in all aspects of labor and employment law with 18 offices across the country. More than 190 labor and employment lawyers at the firm strive to provide clients with sound legal advice, practical counseling and excellent client service.",Phone(s): (205) 244-5900,"2100 Southbridge Parkway, Suite 650
Birmingham, Alabama
35209", Alabama,N/A,"Business Law, Motor Vehicle Accidents, Real Estate"
"Frances H. Hollinger, Attorney at Law",https://www.us-barassociation.org/firms/detail/f8175e2b52a79e3a,"Frances H. Hollinger is a Mobile, AL based bankruptcy attorney providing debt relief services to clients throughout the surrounding cities and counties of Alabama. Mr. Hollinger is dedicated to providing his clients with the highest level of service as well as gives them the guidance they need at such a critical juncture of their lives.

Mr. Hollinger has assisted his clients with all types of debt relief services. He has successfully helped individual clients file for chapter 7 bankruptcy and chapter 13 bankruptcy. He also assists businesses filing for chapter 11 bankruptcy. In addition to bankruptcy services, Mr. Hollinger can also assist clients with debt negotiation and foreclosure defense.

Bankruptcy can have effects on more than just the person filing. Entire families and neighborhoods can feel the burden of debt. Mr. Hollinger has the experience and in-depth knowledge of bankruptcy law to assist his clients with even the most complex cases and help them keep as much of their assets as possible while eliminating their debts.",Phone(s): (251) 432-8878,"109 N. Conception St. Suite 202
Mobile, Alabama
36602", Alabama,N/A,"Bankruptcy, Business Law"
